Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,95.3,1671.47,capanema,15.0
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,95.3,1671.47,capanema,41.0
capitão poço,5285.0,4305.0,0.8145695364238411,MU,1502301,29.8,1511.34,capitão poço,15.0
capitão poço,5285.0,4305.0,0.8145695364238411,MU,1502301,29.0,1511.34,capitão poço,15.0
capitão poço,5285.0,4305.0,0.8145695364238411,MU,1502301,103.0,1511.34,capitão poço,15.0
castanhal,19893.0,15986.0,0.8035992560197054,MU,1502400,33.27,2428.88,castanhal,15.0
castanhal,19893.0,15986.0,0.8035992560197054,MU,1502400,31.0,2428.88,castanhal,15.0
castanhal,19893.0,15986.0,0.8035992560197054,MU,1502400,92.74,2428.88,castanhal,15.0
chaves,1343.0,653.0,0.4862248696947133,MU,1502509,15.76,1562.635,chaves,15.0
chaves,1343.0,653.0,0.4862248696947133,MU,1502509,23.0,1562.635,chaves,15.0
chaves,1343.0,653.0,0.4862248696947133,MU,1502509,115.34,1562.635,chaves,15.0
colares,1171.0,893.0,0.762596071733561,MU,1502608,40.03,1045.165,colares,15.0
colares,1171.0,893.0,0.762596071733561,MU,1502608,31.0,1045.165,colares,15.0
colares,1171.0,893.0,0.762596071733561,MU,1502608,100.37,1045.165,colares,15.0
conceição do araguaia,5347.0,4409.0,0.8245745277725828,MU,1502707,45.31,2547.005,conceição do araguaia,15.0
conceição do araguaia,5347.0,4409.0,0.8245745277725828,MU,1502707,32.0,2547.005,conceição do araguaia,15.0
conceição do araguaia,5347.0,4409.0,0.8245745277725828,MU,1502707,101.64,2547.005,conceição do araguaia,15.0
concórdia do pará,2033.0,1569.0,0.7717658632562715,MU,1502756,24.41,1543.545,concórdia do pará,15.0
concórdia do pará,2033.0,1569.0,0.7717658632562715,MU,1502756,27.0,1543.545,concórdia do pará,15.0
concórdia do pará,2033.0,1569.0,0.7717658632562715,MU,1502756,101.64,1543.545,concórdia do pará,15.0
cumaru do norte,983.0,786.0,0.7995930824008138,MU,1502764,13.9,3540.685,cumaru do norte,15.0
cumaru do norte,983.0,786.0,0.7995930824008138,MU,1502764,26.0,3540.685,cumaru do norte,15.0
cumaru do norte,983.0,786.0,0.7995930824008138,MU,1502764,121.74,3540.685,cumaru do norte,15.0
curionópolis,1775.0,1360.0,0.7661971830985915,MU,1502772,29.99,2280.635,curionópolis,15.0
curionópolis,1775.0,1360.0,0.7661971830985915,MU,1502772,28.0,2280.635,curionópolis,15.0
curionópolis,1775.0,1360.0,0.7661971830985915,MU,1502772,104.53,2280.635,curionópolis,15.0
curralinho,2179.0,1100.0,0.5048187241854062,MU,1502806,14.77,2539.475,curralinho,15.0
curralinho,2179.0,1100.0,0.5048187241854062,MU,1502806,22.0,2539.475,curralinho,15.0
curralinho,2179.0,1100.0,0.5048187241854062,MU,1502806,111.37,2539.475,curralinho,15.0
curuá,993.0,693.0,0.6978851963746223,MU,1502855,21.99,1033.595,curuá,15.0
curuá,993.0,693.0,0.6978851963746223,MU,1502855,26.0,1033.595,curuá,15.0
curuá,993.0,693.0,0.6978851963746223,MU,1502855,108.25,1033.595,curuá,15.0
curuçá,3945.0,2782.0,0.7051964512040557,MU,1502905,43.07,1624.59,curuçá,15.0
curuçá,3945.0,2782.0,0.7051964512040557,MU,1502905,31.0,1624.59,curuçá,15.0
curuçá,3945.0,2782.0,0.7051964512040557,MU,1502905,101.11,1624.59,curuçá,15.0
dom eliseu,4951.0,3270.0,0.6604726317915572,MU,1502939,20.72,1415.145,dom eliseu,15.0
dom eliseu,4951.0,3270.0,0.6604726317915572,MU,1502939,27.0,1415.145,dom eliseu,15.0
dom eliseu,4951.0,3270.0,0.6604726317915572,MU,1502939,97.73,1415.145,dom eliseu,15.0
eldorado do carajás,2553.0,2158.0,0.845280062671367,MU,1502954,25.95,1629.97,eldorado do carajás,15.0
eldorado do carajás,2553.0,2158.0,0.845280062671367,MU,1502954,27.0,1629.97,eldorado do carajás,15.0
eldorado do carajás,2553.0,2158.0,0.845280062671367,MU,1502954,105.05,1629.97,eldorado do carajás,15.0
faro,678.0,313.0,0.4616519174041298,MU,1503002,24.91,1697.715,faro,15.0
faro,678.0,313.0,0.4616519174041298,MU,1503002,26.0,1697.715,faro,15.0
faro,678.0,313.0,0.4616519174041298,MU,1503002,105.61,1697.715,faro,15.0
floresta do araguaia,2007.0,1586.0,0.7902341803687095,MU,1503044,28.78,2020.42,floresta do araguaia,15.0
floresta do araguaia,2007.0,1586.0,0.7902341803687095,MU,1503044,29.0,2020.42,floresta do araguaia,15.0
floresta do araguaia,2007.0,1586.0,0.7902341803687095,MU,1503044,113.07,2020.42,floresta do araguaia,15.0
garrafão do norte,2033.0,1674.0,0.823413674372848,MU,1503077,26.92,852.87,garrafão do norte,15.0
garrafão do norte,2033.0,1674.0,0.823413674372848,MU,1503077,28.0,852.87,garrafão do norte,15.0
garrafão do norte,2033.0,1674.0,0.823413674372848,MU,1503077,105.7,852.87,garrafão do norte,15.0
goianésia do pará,2700.0,2192.0,0.8118518518518518,MU,1503093,25.84,2159.29,goianésia do pará,15.0
goianésia do pará,2700.0,2192.0,0.8118518518518518,MU,1503093,29.0,2159.29,goianésia do pará,15.0
